リリース日,キャラ名,スタイル名,メイン属性,サブ属性,ロール,ガシャ名,レア,ユニゾン,新規復刻,周年,画像,備考
2026/08/07,水瀬いちご（CV 愛美）,双星のヴァルキリー,,,,,,TRUE,,,https://x.com/heavenburnsred/status/2083879002784338057?s=20,
2026/08/02,成瀬ヒカリ（CV #羽鳥颯希）,泰然たる狩人,突,虚,BREAKER,4.5th Anniversaryガチャ,SS<レゾナンス>,FALSE,新規,4.5,https://x.com/heavenburnsred/status/2084519854711951560?s=20,
2026/07/24,手塚咲（CV #瀬戸麻沙美）,希望の暁,斬,雷,ATTACKER,4.5th Anniversary前夜祭 期間限定ピックアッププラチナガチャ,SS<レゾナンス>,FALSE,復刻,4.5,,
2026/07/17,大島一千子（CV #日向葵）,浜辺のマドモアゼル,打,光,,新ピックアッププラチナガチャ,SS<レゾナンス>,FALSE,新規,,"https://x.com/heavenburnsred/status/2078721561172099151?s=20
https://x.com/heavenburnsred/status/2078993370043781598?s=20",限界突破Lv.1
2026/07/17,大島四ツ葉（CV #内山茉莉）,まったりトコナツフロート,突,光,,新ピックアッププラチナガチャ,SS<レゾナンス>,FALSE,新規,,https://x.com/heavenburnsred/status/2078767044397551924?s=20,限界突破Lv.1
2026/07/03,華村詩紀（CV 時澤香保里）,宵花火のノクターン,斬,,,新 ピックアップガチャ,SS<レゾナンス>,FALSE,新規,,"https://x.com/heavenburnsred/status/2074433514934825383?s=20
https://x.com/heavenburnsred/status/2072643073956553130?s=20",限界突破Lv.1
2026/06/26,茅森月歌,Glorious Blades,斬,氷,ADMIRAL,ADMIRAL ピックアップガチャ,SS<レゾナンス>,FALSE,復刻,,https://x.com/heavenburnsred/status/2070327519497318588?s=20,
2026/06/26,白河ユイナ,勝利を告げる神託の旗,斬,火,ADMIRAL,ADMIRAL ピックアップガチャ,SS<レゾナンス>,FALSE,復刻,,,
2026/06/26,柳美音,夜の香り、薔薇の調べ,突,無,ADMIRAL,ADMIRAL ピックアップガチャ,SS,FALSE,復刻,,,
2026/06/19,李映夏（CV 小柳日菜）,ハオチー♪満腹桃源郷,,,,新ピックアッププラチナガチャ,SS,FALSE,新規,,"https://x.com/heavenburnsred/status/2067568882932760783?s=20
https://x.com/heavenburnsred/status/2068574643997581642?s=20",
2026/06/19,シャルロッタ・スコポフスカヤ（CV 会沢紗弥）,異国のプリンツェッサ,,,,新ピックアッププラチナガチャ,SS<レゾナンス>,FALSE,新規,,"https://x.com/heavenburnsred/status/2067570081358573939?s=20
https://x.com/heavenburnsred/status/2068574643997581642?s=20",
2026/06/05,茅森月歌（CV #楠木ともり）,[TAKE YOUR HEART],,,,ペルソナ５ ザ・ロイヤル コラボガチャ Part2,SS<レゾナンス>,FALSE,新規,,"https://x.com/heavenburnsred/status/2063501207260282951?s=20
https://x.com/heavenburnsred/status/2062502820918730964?s=20",
2026/06/05,ヴァイオレット（CV #雨宮天）,揺るぎなき信念,,,,ペルソナ５ ザ・ロイヤル コラボガチャ Part2,SS<レゾナンス>,FALSE,新規,,"https://x.com/heavenburnsred/status/2063501207260282951?s=20
https://x.com/heavenburnsred/status/2062502620665946358?s=20",
2026/05/22,東城つかさ（CV #天海由梨奈）,[激情のファム・ファタール],,,,ペルソナ５ ザ・ロイヤル コラボガチャ Part1,SS<レゾナンス>,FALSE,新規,,"https://x.com/heavenburnsred/status/2054895591671664855?s=20
https://x.com/heavenburnsred/status/2058427811820622180?s=20",
2026/05/22,クイーン（CV #佐藤利奈）,[慧眼の女教皇],,,,ペルソナ５ ザ・ロイヤル コラボガチャ Part1,SS<レゾナンス>,FALSE,新規,,"https://x.com/heavenburnsred/status/2054894388879425779?s=20
https://x.com/heavenburnsred/status/2058427811820622180?s=20",
2026/05/22,モナ（CV #大谷育江）,[黎明の魔術師],,,,イベントクリア報酬,SS,FALSE,新規,,"https://x.com/heavenburnsred/status/2054893402186272912?s=20
https://x.com/heavenburnsred/status/2058427811820622180?s=20",
